province,year,type,Jan,Feb,Mar,Apr,May,June,Jul,Aug,Sep,Oct,Nov,Dec
Koh Kong,"2,009",cases,3,3,17,7,5,5,7,1,,2,3,2
Kratie,"2,009",cases,,2,2,12,45,118,48,30,3,,,
MondulKiri,"2,009",cases,,,,,,,1,,,,,
Phnom Penh,"2,009",cases,82,61,68,93,162,311,339,282,170,174,98,64
PreahVihear,"2,009",cases,1,0,,1,2,5,6,6,4,2,,
PreyVeng,"2,009",cases,5,5,11,46,57,82,98,96,48,29,23,8
Pursat,"2,009",cases,3,0,3,4,6,28,47,41,21,15,11,1
RattanaKiri,"2,009",cases,,0,2,1,8,34,23,8,,0,,
Siem Reap,"2,009",cases,18,16,21,64,84,251,431,439,263,132,55,36
K.Pr.Sihaknouk,"2,009",cases,4,5,10,25,25,23,21,11,8,6,1,3
StungTreng,"2,009",cases,,0,,,1,1,1,3,3,0,2,1
SvayRieng,"2,009",cases,2,1,3,1,11,15,17,15,7,10,2,1
Takeo,"2,009",cases,4,8,8,20,75,129,88,59,35,13,11,3
O.Meanchey,"2,009",cases,2,1,,2,7,15,7,10,1,4,4,3
Kep,"2,009",cases,,0,,,,2,2,,2,0,,
Paillin,"2,009",cases,,1,,2,3,4,3,3,3,2,,
B.Meanchey,"2,010",cases,18,8,21,12,58,157,431,375,261,74,13,4
Battambang,"2,010",cases,4,3,6,5,15,49,98,119,57,17,4,3
Kampong Cham,"2,010",cases,16,11,18,37,122,293,678,467,224,103,41,17
Kg.Chhnang,"2,010",cases,1,1,4,6,54,90,183,178,103,35,10,2
KampongSpeu,"2,010",cases,9,12,18,10,52,77,177,152,87,50,24,6
KampongThom,"2,010",cases,1,4,5,8,12,36,94,146,88,53,17,13
Kampot,"2,010",cases,3,2,6,11,41,120,166,84,51,30,10,3
Kandal,"2,010",cases,17,16,23,33,98,211,399,383,194,135,54,47
Koh Kong,"2,010",cases,,,2,,7,17,19,10,8,6,2,
Kratie,"2,010",cases,,,,2,7,7,17,9,3,4,2,
MondulKiri,"2,010",cases,,,,,1,,1,1,,0,,
Phnom Penh,"2,010",cases,43,34,57,31,56,78,219,315,285,197,124,112
PreahVihear,"2,010",cases,,1,3,1,5,14,10,8,1,6,0,2
PreyVeng,"2,010",cases,2,,4,6,15,28,69,85,82,47,24,9
Pursat,"2,010",cases,3,,2,3,4,7,33,21,9,4,1,
RattanaKiri,"2,010",cases,,,,,,1,3,10,5,0,1,1
