province,year,type,Jan,Feb,Mar,Apr,May,June,Jul,Aug,Sep,Oct,Nov,Dec
Kratie,"2,012",deaths,0,0,0,0,0,0,0,0,0,0,0,0
MondulKiri,"2,012",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Phnom Penh,"2,012",deaths,0,0,2,0,1,0,1,0,0,0,0,0
PreahVihear,"2,012",deaths,0,0,0,0,1,0,0,0,0,1,0,1
PreyVeng,"2,012",deaths,0,0,0,0,1,3,4,3,1,2,1,0
Pursat,"2,012",deaths,0,0,0,0,0,0,0,0,0,0,0,0
RattanaKiri,"2,012",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Siem Reap,"2,012",deaths,0,0,0,0,2,5,6,5,5,4,1,4
K.Pr.Sihaknouk,"2,012",deaths,0,0,0,0,0,0,0,0,0,1,0,0
StungTreng,"2,012",deaths,0,0,0,0,0,0,0,0,0,0,0,0
SvayRieng,"2,012",deaths,0,1,0,1,0,0,0,1,1,0,0,0
Takeo,"2,012",deaths,0,0,0,1,1,0,2,1,2,0,1,0
O.Meanchey,"2,012",deaths,0,0,0,0,1,0,0,0,1,1,0,0
Kep,"2,012",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Paillin,"2,012",deaths,0,0,0,0,0,0,0,0,0,0,0,0
B.Meanchey,"2,013",deaths,0,0,0,0,0,0,1,0,0,0,0,0
Battambang,"2,013",deaths,0,1,0,0,0,1,0,0,0,1,2,0
Kampong Cham,"2,013",deaths,0,0,0,1,0,2,0,1,0,1,0,0
Kg.Chhnang,"2,013",deaths,0,0,1,0,0,0,2,2,1,0,0,0
KampongSpeu,"2,013",deaths,0,0,0,0,0,0,1,0,0,0,0,0
KampongThom,"2,013",deaths,0,0,0,0,1,1,2,0,0,0,0,0
Kampot,"2,013",deaths,0,0,0,0,0,0,1,0,0,0,0,0
Kandal,"2,013",deaths,1,0,1,0,0,0,0,0,0,0,0,0
Koh Kong,"2,013",deaths,0,0,0,1,0,0,0,0,0,0,0,0
Kratie,"2,013",deaths,0,1,0,0,0,0,0,0,0,0,0,0
MondulKiri,"2,013",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Phnom Penh,"2,013",deaths,0,0,0,0,1,0,0,0,0,0,1,0
PreahVihear,"2,013",deaths,0,0,2,0,1,0,0,0,0,0,1,0
PreyVeng,"2,013",deaths,0,0,1,2,0,1,2,0,1,1,2,0
Pursat,"2,013",deaths,0,0,0,0,1,0,0,1,0,1,0,0
RattanaKiri,"2,013",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Siem Reap,"2,013",deaths,0,0,1,2,0,1,0,2,2,0,0,0
K.Pr.Sihaknouk,"2,013",deaths,0,0,0,0,0,0,0,0,0,1,0,0
StungTreng,"2,013",deaths,0,0,0,0,0,0,0,0,0,0,0,0
SvayRieng,"2,013",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Takeo,"2,013",deaths,0,0,0,0,0,0,0,0,0,0,1,0
O.Meanchey,"2,013",deaths,0,0,0,0,1,0,1,0,0,0,1,0
Kep,"2,013",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Paillin,"2,013",deaths,0,0,0,0,0,0,0,0,0,0,0,0
B.Meanchey,"2,014",deaths,0,0,0,0,0,0,1,1,0,1,0,0
Battambang,"2,014",deaths,0,0,0,0,0,0,0,2,1,0,0,0
Kampong Cham,"2,014",deaths,1,0,0,0,0,3,0,0,0,0,0,0
Kg.Chhnang,"2,014",deaths,0,0,0,0,0,0,1,0,0,0,0,0
KampongSpeu,"2,014",deaths,0,0,0,0,0,0,0,0,0,0,0,0
KampongThom,"2,014",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kampot,"2,014",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kandal,"2,014",deaths,0,0,0,0,1,0,1,0,0,0,1,0
Koh Kong,"2,014",deaths,0,0,0,0,0,0,1,0,0,0,0,0
Kratie,"2,014",deaths,0,0,0,0,0,0,0,0,0,0,0,0
MondulKiri,"2,014",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Phnom Penh,"2,014",deaths,0,0,0,0,0,0,0,0,0,0,0,0
PreahVihear,"2,014",deaths,0,0,0,0,0,1,0,0,0,0,0,0
PreyVeng,"2,014",deaths,0,0,0,0,1,0,0,0,0,0,0,0
Pursat,"2,014",deaths,0,0,0,0,0,0,0,0,0,0,1,0
RattanaKiri,"2,014",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Siem Reap,"2,014",deaths,0,0,0,0,0,0,0,0,1,1,0,0
K.Pr.Sihaknouk,"2,014",deaths,0,0,0,0,0,0,0,0,0,0,0,0
StungTreng,"2,014",deaths,0,0,0,0,0,0,0,0,0,0,0,0
SvayRieng,"2,014",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Takeo,"2,014",deaths,0,0,0,0,0,0,1,0,0,0,0,0
O.Meanchey,"2,014",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kep,"2,014",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Paillin,"2,014",deaths,0,0,0,0,0,0,0,0,0,0,0,0
B.Meanchey,"2,015",deaths,0,0,0,0,0,1,2,1,0,0,1,0
Battambang,"2,015",deaths,0,0,0,0,0,0,0,1,2,0,0,0
Kampong Cham,"2,015",deaths,0,0,0,0,0,3,2,3,0,0,0,0
Kg.Chhnang,"2,015",deaths,0,0,0,0,0,1,0,0,0,0,0,0
KampongSpeu,"2,015",deaths,0,0,0,0,0,0,0,1,1,0,0,0
KampongThom,"2,015",deaths,1,0,0,0,0,1,0,0,0,0,0,0
Kampot,"2,015",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kandal,"2,015",deaths,0,0,0,0,0,0,1,0,0,1,0,0
Koh Kong,"2,015",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kratie,"2,015",deaths,0,0,0,0,0,0,0,1,0,0,0,0
MondulKiri,"2,015",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Phnom Penh,"2,015",deaths,0,0,0,0,0,0,0,0,0,0,0,1
PreahVihear,"2,015",deaths,0,0,0,0,0,0,0,1,0,0,0,0
PreyVeng,"2,015",deaths,0,0,0,0,0,0,0,1,0,0,0,0
Pursat,"2,015",deaths,0,0,0,0,0,0,0,0,0,0,0,0
RattanaKiri,"2,015",deaths,0,0,0,0,0,0,0,1,0,0,0,0
Siem Reap,"2,015",deaths,0,0,0,0,0,0,0,0,0,2,1,0
K.Pr.Sihaknouk,"2,015",deaths,0,0,0,0,0,0,0,1,0,0,0,0
StungTreng,"2,015",deaths,0,0,0,0,0,0,0,0,0,0,0,0
SvayRieng,"2,015",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Takeo,"2,015",deaths,0,0,0,0,0,0,0,1,0,0,0,0
O.Meanchey,"2,015",deaths,0,0,0,0,0,1,3,0,0,0,0,0
Kep,"2,015",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Paillin,"2,015",deaths,0,0,0,0,0,0,0,1,0,0,0,0
B.Meanchey,"2,016",deaths,0,0,0,0,1,0,0,0,0,0,0,0
Battambang,"2,016",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kampong Cham,"2,016",deaths,0,0,1,0,0,1,2,1,0,0,0,0
Kg.Chhnang,"2,016",deaths,0,0,1,0,0,0,0,0,0,0,0,0
KampongSpeu,"2,016",deaths,0,0,0,0,0,0,1,1,0,0,0,0
KampongThom,"2,016",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kampot,"2,016",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kandal,"2,016",deaths,0,0,0,0,0,1,0,0,0,0,0,0
Koh Kong,"2,016",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kratie,"2,016",deaths,0,0,0,0,0,0,1,0,0,0,0,0
MondulKiri,"2,016",deaths,0,0,0,0,0,1,2,0,0,0,0,0
Phnom Penh,"2,016",deaths,0,0,0,0,0,0,0,0,0,0,0,0
PreahVihear,"2,016",deaths,0,0,0,1,0,0,0,0,0,0,0,0
PreyVeng,"2,016",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Pursat,"2,016",deaths,0,0,0,0,0,0,0,0,0,0,0,0
RattanaKiri,"2,016",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Siem Reap,"2,016",deaths,0,0,0,0,0,0,0,0,0,0,0,0
K.Pr.Sihaknouk,"2,016",deaths,0,0,0,0,0,0,0,0,0,0,0,0
StungTreng,"2,016",deaths,0,0,0,0,0,1,0,0,0,0,0,0
SvayRieng,"2,016",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Takeo,"2,016",deaths,0,0,0,0,0,0,0,0,0,0,0,0
O.Meanchey,"2,016",deaths,0,0,0,0,0,0,1,1,0,0,0,0
Kep,"2,016",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Paillin,"2,016",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Tboung Khmum,"2,016",deaths,0,0,0,0,0,0,0,0,0,0,0,0
B.Meanchey,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Battambang,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kampong Cham,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kg.Chhnang,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
KampongSpeu,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
KampongThom,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,1,0
Kampot,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kandal,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Koh Kong,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kratie,"2,017",deaths,0,0,0,0,1,0,0,0,0,0,0,0
MondulKiri,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Phnom Penh,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
PreahVihear,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
PreyVeng,"2,017",deaths,0,0,0,0,0,1,0,0,0,0,0,0
Pursat,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
RattanaKiri,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Siem Reap,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
K.Pr.Sihaknouk,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
StungTreng,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
SvayRieng,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Takeo,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
O.Meanchey,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kep,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Paillin,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Tboung Khmum,"2,017",deaths,0,0,0,0,0,0,0,0,0,0,0,0
B.Meanchey,"2,018",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Battambang,"2,018",deaths,0,0,0,0,0,0,0,0,1,0,0,0
Kampong Cham,"2,018",deaths,0,0,0,0,0,1,0,0,0,0,0,0
Kg.Chhnang,"2,018",deaths,0,0,1,0,0,0,0,0,1,0,0,0
KampongSpeu,"2,018",deaths,0,0,0,0,0,0,0,0,0,1,0,0
KampongThom,"2,018",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kampot,"2,018",deaths,0,0,0,0,0,0,0,0,0,0,1,0
Kandal,"2,018",deaths,0,0,0,0,0,0,3,0,0,0,0,0
Koh Kong,"2,018",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kratie,"2,018",deaths,0,0,1,1,1,0,0,0,0,0,0,0
MondulKiri,"2,018",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Phnom Penh,"2,018",deaths,1,1,0,0,1,0,2,0,0,0,1,0
PreahVihear,"2,018",deaths,0,0,0,0,0,0,0,0,0,0,0,0
PreyVeng,"2,018",deaths,0,0,0,0,0,0,0,0,2,0,1,0
Pursat,"2,018",deaths,0,0,0,0,0,0,0,0,0,0,0,0
RattanaKiri,"2,018",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Siem Reap,"2,018",deaths,0,0,0,0,0,0,1,0,0,0,0,0
K.Pr.Sihaknouk,"2,018",deaths,0,0,0,0,0,0,0,0,0,0,0,0
StungTreng,"2,018",deaths,0,0,0,0,0,0,0,0,0,0,0,0
SvayRieng,"2,018",deaths,0,0,0,0,0,0,0,0,1,0,0,0
Takeo,"2,018",deaths,0,0,0,0,0,0,0,0,0,0,0,0
O.Meanchey,"2,018",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kep,"2,018",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Paillin,"2,018",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Tboung Khmum,"2,018",deaths,0,0,0,0,0,0,0,0,0,0,0,0
B.Meanchey,"2,019",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Battambang,"2,019",deaths,0,0,0,0,3,1,0,0,1,2,0,0
Kampong Cham,"2,019",deaths,0,0,1,1,1,0,0,0,0,0,0,0
Kg.Chhnang,"2,019",deaths,0,0,0,0,0,0,0,0,0,0,0,0
KampongSpeu,"2,019",deaths,0,0,0,0,1,1,0,1,0,0,0,1
KampongThom,"2,019",deaths,0,0,0,0,1,1,0,0,0,0,0,0
Kampot,"2,019",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kandal,"2,019",deaths,1,0,1,0,0,1,0,1,2,0,0,0
Koh Kong,"2,019",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kratie,"2,019",deaths,0,1,0,1,1,0,0,0,0,0,0,0
MondulKiri,"2,019",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Phnom Penh,"2,019",deaths,0,1,0,0,1,0,0,0,1,0,0,1
PreahVihear,"2,019",deaths,0,0,0,0,1,1,0,0,0,0,0,0
PreyVeng,"2,019",deaths,0,0,0,0,1,0,0,0,1,0,0,0
Pursat,"2,019",deaths,0,0,0,0,0,0,0,0,0,0,0,0
RattanaKiri,"2,019",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Siem Reap,"2,019",deaths,1,0,0,0,1,0,0,0,0,1,0,0
K.Pr.Sihaknouk,"2,019",deaths,1,1,0,1,0,0,0,0,0,0,0,0
StungTreng,"2,019",deaths,0,0,0,0,0,0,0,0,0,0,0,0
SvayRieng,"2,019",deaths,0,0,0,0,0,0,0,0,0,0,0,1
Takeo,"2,019",deaths,0,0,0,0,0,0,0,0,0,0,0,0
O.Meanchey,"2,019",deaths,0,0,0,0,0,0,0,0,1,0,0,0
Kep,"2,019",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Paillin,"2,019",deaths,0,0,0,1,0,0,0,0,0,0,0,0
Tboung Khmum,"2,019",deaths,0,0,1,1,0,1,0,1,0,0,0,0
B.Meanchey,"2,020",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Battambang,"2,020",deaths,0,0,0,0,0,0,1,0,0,0,0,0
Kampong Cham,"2,020",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kg.Chhnang,"2,020",deaths,0,0,0,0,0,0,0,0,0,0,0,0
KampongSpeu,"2,020",deaths,0,0,0,0,0,0,1,1,0,0,0,0
KampongThom,"2,020",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kampot,"2,020",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kandal,"2,020",deaths,0,0,0,0,0,0,0,1,2,1,0,0
Koh Kong,"2,020",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kratie,"2,020",deaths,0,0,0,0,0,0,0,0,1,0,0,0
MondulKiri,"2,020",deaths,0,0,0,0,0,0,1,0,0,0,0,0
Phnom Penh,"2,020",deaths,0,0,0,0,0,0,0,0,1,0,0,0
PreahVihear,"2,020",deaths,0,0,0,0,0,0,0,0,0,0,0,0
PreyVeng,"2,020",deaths,0,0,0,0,1,0,0,0,0,0,0,0
Pursat,"2,020",deaths,0,0,0,0,0,0,0,0,0,0,0,0
RattanaKiri,"2,020",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Siem Reap,"2,020",deaths,0,0,0,0,0,0,0,0,0,0,0,0
K.Pr.Sihaknouk,"2,020",deaths,0,0,0,0,0,0,1,0,0,0,0,0
StungTreng,"2,020",deaths,0,0,0,0,0,0,0,0,0,0,0,0
SvayRieng,"2,020",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Takeo,"2,020",deaths,0,0,0,0,0,0,0,0,0,0,0,1
O.Meanchey,"2,020",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Kep,"2,020",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Paillin,"2,020",deaths,0,0,0,0,0,0,0,0,0,0,0,0
Tboung Khmum,"2,020",deaths,0,0,0,0,0,0,1,1,1,0,0,0
