"time","provname","year","biweek","cases","temp_C","precip_mm","births","pop","cases_per_1000","reconstructed_annual_period","reconstructed_multi_period","multi_period","avg_wave_power_annual","avg_wave_power_multi","avg_wave_coherency_temp","avg_cross_power_temp","avg_wave_coherency_precip","avg_cross_power_precip","proportion_coherence_annual"
2003.30769230769,"Kampong Thom",2003,9,4,30.3099770714286,4.67097857142857,607.171420924567,598878.235173817,0.00667915406683472,-0.00308751835642872,-0.00547041480211693,5.22509816274527,0.28742081300865,0.255819676009513,0.0731599590510299,0.400211510987244,0.0912474219335205,0.467911869930282,0.956521739130435
2003.34615384615,"Kampong Thom",2003,10,22,29.4568159214286,7.44929285714286,607.384389783518,599275.069272309,0.036711021579313,-0.00308751835642872,-0.00697496035441887,5.21595649518121,0.305946233392519,0.259754248177343,0.0732074338900408,0.405539833622387,0.0912833843726608,0.471396986686433,0.91304347826087
2003.38461538462,"Kampong Thom",2003,11,38,28.5501229142857,9.45342142857143,607.59735864247,599671.903370801,0.063367984703634,-0.00308751835642872,-0.00932110155629921,5.2068937232111,0.323494184260839,0.26372915751804,0.0737859317696351,0.406171881130621,0.0913190208802529,0.477151700693756,0.91304347826087
2003.42307692308,"Kampong Thom",2003,12,39,30.4302652857143,2.87895,607.810327501421,600068.737469292,0.064992554293825,-0.00308751835642872,-0.0117424297536616,5.19790833860454,0.33760449589731,0.267744274959185,0.0738356726243064,0.411182416883726,0.0913543265526493,0.48265662635975,0.91304347826087
2003.46153846154,"Kampong Thom",2003,13,72,28.2633059857143,7.18015714285714,608.023296360372,600465.571567784,0.119906957882717,-0.00308751835642872,-0.0142337437099009,5.18899893716109,0.346364089785827,0.271799448156155,0.0738862440971445,0.416026628923238,0.091389310639822,0.493552491913837,0.91304347826087
2003.5,"Kampong Thom",2003,14,57,28.24445255,5.63807857142857,608.236265219323,600862.405666276,0.0948636484201315,-0.00308751835642872,-0.0167894465850177,5.18016422114027,0.349554764113821,0.275894500334049,0.0742466704577991,0.425200717496766,0.0924395768836554,0.498543510764719,0.91304347826087
2003.53846153846,"Kampong Thom",2003,15,63,27.8663757714286,7.93307857142857,608.449234078274,601259.239764767,0.104780094563948,-0.00308751835642872,-0.0194035556261494,5.17140300148029,0.34944984189179,0.280029229104784,0.0742990319151795,0.429704736249207,0.0934211035420703,0.506387960880895,0.91304347826087
2003.57692307692,"Kampong Thom",2003,16,72,28.3194561285715,7.17959285714286,608.662202937225,601656.073863259,0.119669696904554,-0.00308751835642872,-0.0220697135891551,5.16271419978486,0.349092163077583,0.284203405263125,0.0743520390758919,0.434047883812226,0.0934562334279111,0.516192553901472,0.91304347826087
2003.61538461538,"Kampong Thom",2003,17,66,27.6330996071429,7.89837857142857,608.875171796176,602052.907961751,0.109624916892176,-0.00308751835642872,-0.0240387045294425,5.15409685005821,0.348996692582146,0.288416771565798,0.074405619387547,0.433771937923234,0.0934912258087534,0.520426572469853,0.91304347826087
2003.65384615385,"Kampong Thom",2003,18,32,27.6911739,8.62123571428571,609.088140655127,602449.742060242,0.0531164639403234,-0.00308751835642872,-0.0268039638280792,5.1455501001702,0.346417609658468,0.292669041498181,0.0754595505853785,0.437817023645056,0.0935261463080436,0.524393947060381,0.91304347826087
2003.69230769231,"Kampong Thom",2003,19,14,27.2153885357143,9.22552857142857,609.301109514078,602846.576158734,0.0232231558636466,-0.00308751835642872,-0.0296033327307309,5.13707321303409,0.338523887549278,0.296959898033408,0.075514752727448,0.444749546966486,0.0935610648104989,0.522848189824639,0.91304347826087
2003.73076923077,"Kampong Thom",2003,20,20,27.3679356285714,10.7978857142857,609.51407837303,603243.410257226,0.0331541126847484,-0.00308751835642872,-0.0324290711459812,5.12866556748156,0.325543194906873,0.301288992389075,0.0755703259630624,0.448523227037917,0.0940867270294423,0.52631407476714,0.91304347826087
