"month_date","provname","national_cases","cases","precip_mm","temp_C","temp_C_national","precip_mm_national","oni","mei"
2012-01-01,"Preah Vihear",258,2,1.42454901607306,26.9790501892858,27.2242205946429,2.8732824625604,-0.86,-1.12
2012-01-01,"Prey Veng",258,13,2.40935,28.3794900642858,27.2242205946429,2.8732824625604,-0.86,-1.12
2012-01-01,"Siem Reap",258,30,1.49942514520643,27.2713938607143,27.2242205946429,2.8732824625604,-0.86,-1.12
2012-01-01,"Svay Rieng",258,3,2.08800714285714,28.5117242642857,27.2242205946429,2.8732824625604,-0.86,-1.12
2012-01-01,"Takeo",258,13,3.04758571428571,27.8214507392858,27.2242205946429,2.8732824625604,-0.86,-1.12
2012-02-01,"Banteay Meanchey",362,26,1.34356948052894,28.7768228464286,28.2159019429945,2.78244158297236,-0.72,-0.71
2012-02-01,"Battambang",362,11,2.57397861231565,28.3542236142858,28.2159019429945,2.78244158297236,-0.72,-0.71
2012-02-01,"Kampong Cham",362,43,1.96976689061129,29.8508843678571,28.2159019429945,2.78244158297236,-0.72,-0.71
2012-02-01,"Kampong Chhnang",362,4,2.18572899535343,28.9163107892858,28.2159019429945,2.78244158297236,-0.72,-0.71
2012-02-01,"Kampong Speu",362,26,3.29197528130714,26.8379814071429,28.2159019429945,2.78244158297236,-0.72,-0.71
2012-02-01,"Kampong Thom",362,18,1.13206326667286,29.7747289321429,28.2159019429945,2.78244158297236,-0.72,-0.71
2012-02-01,"Kampot",362,8,6.81368381535714,26.3188688535715,28.2159019429945,2.78244158297236,-0.72,-0.71
2012-02-01,"Kandal",362,59,3.57634591720271,28.701415275,28.2159019429945,2.78244158297236,-0.72,-0.71
2012-02-01,"Koh Kong",362,5,5.56709285714286,25.1207431071429,28.2159019429945,2.78244158297236,-0.72,-0.71
2012-02-01,"Kratie",362,1,0.70161588764255,29.7296650357143,28.2159019429945,2.78244158297236,-0.72,-0.71
2012-02-01,"Oddar Meanchey",362,9,0.693510246643307,27.8457032642857,28.2159019429945,2.78244158297236,-0.72,-0.71
2012-02-01,"Phnom Penh",362,71,3.294558434417,28.8676591892857,28.2159019429945,2.78244158297236,-0.72,-0.71
2012-02-01,"Preah Sihanouk",362,6,5.93099529087143,26.4473908785715,28.2159019429945,2.78244158297236,-0.72,-0.71
2012-02-01,"Preah Vihear",362,2,1.15394373445822,28.5309196142857,28.2159019429945,2.78244158297236,-0.72,-0.71
2012-02-01,"Prey Veng",362,33,2.893401681417,28.8179190142857,28.2159019429945,2.78244158297236,-0.72,-0.71
2012-02-01,"Pursat",362,1,3.60310032202271,27.1740635821428,28.2159019429945,2.78244158297236,-0.72,-0.71
2012-02-01,"Siem Reap",362,22,1.97655424726429,29.1353198821429,28.2159019429945,2.78244158297236,-0.72,-0.71
2012-02-01,"Svay Rieng",362,7,3.20254500539629,28.6876776071429,28.2159019429945,2.78244158297236,-0.72,-0.71
2012-02-01,"Takeo",362,10,6.21248163148843,27.8159165535714,28.2159019429945,2.78244158297236,-0.72,-0.71
