"year_range","mid_year","corr","provname","comp_prov","full_ts_corr","dist_m","dist_km","dist_from_PP_m","dist_from_PP_km"
"2004-2008",2006,0.377146195980123,"Koh Kong","Preah Vihear",0.616316633488841,296985.547010585,296.985547010585,143492.063353842,143.492063353842
"2005-2009",2007,0.340317439665926,"Koh Kong","Preah Vihear",0.616316633488841,296985.547010585,296.985547010585,143492.063353842,143.492063353842
"2006-2010",2008,0.326958240272643,"Koh Kong","Preah Vihear",0.616316633488841,296985.547010585,296.985547010585,143492.063353842,143.492063353842
"2007-2011",2009,0.32982678089551,"Koh Kong","Preah Vihear",0.616316633488841,296985.547010585,296.985547010585,143492.063353842,143.492063353842
"2008-2012",2010,0.375955524902255,"Koh Kong","Preah Vihear",0.616316633488841,296985.547010585,296.985547010585,143492.063353842,143.492063353842
"2009-2013",2011,0.420342977386493,"Koh Kong","Preah Vihear",0.616316633488841,296985.547010585,296.985547010585,143492.063353842,143.492063353842
"2010-2014",2012,0.448103660867749,"Koh Kong","Preah Vihear",0.616316633488841,296985.547010585,296.985547010585,143492.063353842,143.492063353842
"2011-2015",2013,0.451819034508961,"Koh Kong","Preah Vihear",0.616316633488841,296985.547010585,296.985547010585,143492.063353842,143.492063353842
"2012-2016",2014,0.326302413973744,"Koh Kong","Preah Vihear",0.616316633488841,296985.547010585,296.985547010585,143492.063353842,143.492063353842
"2013-2017",2015,0.335073074624213,"Koh Kong","Preah Vihear",0.616316633488841,296985.547010585,296.985547010585,143492.063353842,143.492063353842
"2014-2018",2016,0.190249614113402,"Koh Kong","Preah Vihear",0.616316633488841,296985.547010585,296.985547010585,143492.063353842,143.492063353842
"2015-2019",2017,0.672883529683463,"Koh Kong","Preah Vihear",0.616316633488841,296985.547010585,296.985547010585,143492.063353842,143.492063353842
"2016-2020",2018,0.66575551436593,"Koh Kong","Preah Vihear",0.616316633488841,296985.547010585,296.985547010585,143492.063353842,143.492063353842
"2002-2006",2004,0.0139086737934547,"Koh Kong","Prey Veng",0.471338550349241,210788.684575229,210.788684575229,143492.063353842,143.492063353842
"2003-2007",2005,0.764571580187098,"Koh Kong","Prey Veng",0.471338550349241,210788.684575229,210.788684575229,143492.063353842,143.492063353842
"2004-2008",2006,0.763261997466223,"Koh Kong","Prey Veng",0.471338550349241,210788.684575229,210.788684575229,143492.063353842,143.492063353842
"2005-2009",2007,0.739335828296682,"Koh Kong","Prey Veng",0.471338550349241,210788.684575229,210.788684575229,143492.063353842,143.492063353842
"2006-2010",2008,0.683778969194031,"Koh Kong","Prey Veng",0.471338550349241,210788.684575229,210.788684575229,143492.063353842,143.492063353842
"2007-2011",2009,0.671484111972569,"Koh Kong","Prey Veng",0.471338550349241,210788.684575229,210.788684575229,143492.063353842,143.492063353842
"2008-2012",2010,0.454096780922302,"Koh Kong","Prey Veng",0.471338550349241,210788.684575229,210.788684575229,143492.063353842,143.492063353842
"2009-2013",2011,0.391464621701873,"Koh Kong","Prey Veng",0.471338550349241,210788.684575229,210.788684575229,143492.063353842,143.492063353842
"2010-2014",2012,0.43344539687274,"Koh Kong","Prey Veng",0.471338550349241,210788.684575229,210.788684575229,143492.063353842,143.492063353842
"2011-2015",2013,0.46717563608153,"Koh Kong","Prey Veng",0.471338550349241,210788.684575229,210.788684575229,143492.063353842,143.492063353842
"2012-2016",2014,0.525152211068903,"Koh Kong","Prey Veng",0.471338550349241,210788.684575229,210.788684575229,143492.063353842,143.492063353842
"2013-2017",2015,0.64424775073567,"Koh Kong","Prey Veng",0.471338550349241,210788.684575229,210.788684575229,143492.063353842,143.492063353842
