"provname","year","biweek","epiyr","beta","betahigh","betalow","temp_C","precip_m","precip_mm","temp_C_lag","precip_mm_lag","time","cases","births","pop"
"Kampong Cham",2012,15,"2012",0.000248639627152979,NA,NA,29.3350477142857,0.00273015714285714,2.73015714285714,29.2000022428572,3.33265,2012.53846153846,557,958.68780984098,1014443.62310146
"Kampong Cham",2012,16,"2012",0.000249020992358415,NA,NA,29.3887253928572,0.00178777142857143,1.78777142857143,28.4230507214286,9.31655,2012.57692307692,357,958.725146827502,1015080.42921977
"Kampong Cham",2012,17,"2012",0.000247066385158708,NA,NA,29.6197165571429,0.00530377142857143,5.30377142857143,29.2022282071429,2.73015714285714,2012.61538461538,386,958.762483814024,1015717.23533808
"Kampong Cham",2012,18,"2012",0.000248930723299329,NA,NA,28.03390585,0.00945671428571429,9.45671428571429,29.4198044857143,1.78777142857143,2012.65384615385,351,958.799820800545,1016354.04145639
"Kampong Cham",2012,19,"2012",0.000258655268521948,NA,NA,27.5846449714286,0.0116786785714286,11.6786785714286,29.4225109,5.30377142857143,2012.69230769231,239,958.837157787067,1016990.8475747
"Kampong Cham",2012,2,"2012",0.000281051609807726,NA,NA,28.5901734571429,0.00255223199957786,2.55223199957786,29.8893195214286,9.45671428571429,2012.03846153846,5,958.179865153528,1006165.14356341
"Kampong Cham",2012,20,"2012",0.000246268628910776,NA,NA,26.9247746357143,0.0170259785714286,17.0259785714286,27.9725339285715,11.6786785714286,2012.73076923077,122,958.874494773589,1017627.65369301
"Kampong Cham",2012,21,"2012",0.000249273848705574,NA,NA,27.8016604642858,0.00407868571428571,4.07868571428571,29.3350477142857,2.55223199957786,2012.76923076923,56,958.911831760111,1018264.45981132
"Kampong Cham",2012,22,"2012",0.000292882144791253,NA,NA,28.4531222214286,0.00449368571428571,4.49368571428571,29.3887253928572,17.0259785714286,2012.80769230769,77,958.949168746633,1018901.26592963
"Kampong Cham",2012,23,"2012",0.000259379003012085,NA,NA,28.0064634214286,0.00500506428571429,5.00506428571429,29.6197165571429,4.07868571428571,2012.84615384615,44,958.986505733155,1019538.07204795
"Kampong Cham",2012,24,"2012",0.000228963837997368,NA,NA,27.8603521714286,0.00338482142857143,3.38482142857143,28.03390585,4.49368571428571,2012.88461538462,36,959.023842719677,1020174.87816626
"Kampong Cham",2012,25,"2012",0.000221959863681861,NA,NA,27.6098356571429,0.000180782910105429,0.180782910105429,27.5846449714286,5.00506428571429,2012.92307692308,25,959.061179706199,1020811.68428457
