"year","lambda","N_sero","llik","convergence","provname"
1991,0.000264030693149716,2,10851.1570279457,1,"Kampong Cham"
1992,0.363562264909931,2,10851.1570279457,1,"Kampong Cham"
1993,0.0976870040114024,2,10851.1570279457,1,"Kampong Cham"
1994,0.272987979994367,2,10851.1570279457,1,"Kampong Cham"
1995,0.190518980973196,2,10851.1570279457,1,"Kampong Cham"
1996,0.162212774007285,2,10851.1570279457,1,"Kampong Cham"
1997,0.148429008100852,2,10851.1570279457,1,"Kampong Cham"
1998,0.121827382204226,2,10851.1570279457,1,"Kampong Cham"
1999,0.128292225853746,2,10851.1570279457,1,"Kampong Cham"
2000,0.0977450053350246,2,10851.1570279457,1,"Kampong Cham"
2001,0.0704714787119055,2,10851.1570279457,1,"Kampong Cham"
2002,0.0801997471557692,2,10851.1570279457,1,"Kampong Cham"
2003,0.0950692260425455,2,10851.1570279457,1,"Kampong Cham"
2004,0.107990943345207,2,10851.1570279457,1,"Kampong Cham"
2005,0.0946508002964691,2,10851.1570279457,1,"Kampong Cham"
2006,0.0618534352215173,2,10851.1570279457,1,"Kampong Cham"
2007,0.114128438988134,2,10851.1570279457,1,"Kampong Cham"
2008,0.0899973390506897,2,10851.1570279457,1,"Kampong Cham"
2009,0.077779238241961,2,10851.1570279457,1,"Kampong Cham"
2010,0.0767589241233196,2,10851.1570279457,1,"Kampong Cham"
2011,0.0419974902792574,2,10851.1570279457,1,"Kampong Cham"
2012,0.0610973481301175,2,10851.1570279457,1,"Kampong Cham"
2013,0.0862611235995174,2,10851.1570279457,1,"Kampong Cham"
2014,0.0311728379376298,2,10851.1570279457,1,"Kampong Cham"
2015,0.0403966172756954,2,10851.1570279457,1,"Kampong Cham"
2016,0.0467740693706266,2,10851.1570279457,1,"Kampong Cham"
2017,0.0308801047743335,2,10851.1570279457,1,"Kampong Cham"
2018,0.0466750616517279,2,10851.1570279457,1,"Kampong Cham"
2019,0.0674305786145888,2,10851.1570279457,1,"Kampong Cham"
2020,0.0480914801662467,2,10851.1570279457,1,"Kampong Cham"
1988,1.90372875784195e-10,2,4970.6158561448,0,"Kampong Chhnang"
1989,2.28314785145686e-14,2,4970.6158561448,0,"Kampong Chhnang"
1990,3.05996345056721e-16,2,4970.6158561448,0,"Kampong Chhnang"
1991,1.10166967711734e-11,2,4970.6158561448,0,"Kampong Chhnang"
1992,0.112282155443651,2,4970.6158561448,0,"Kampong Chhnang"
1993,0.226688159519451,2,4970.6158561448,0,"Kampong Chhnang"
1994,0.184894409449987,2,4970.6158561448,0,"Kampong Chhnang"
1995,0.165528945639981,2,4970.6158561448,0,"Kampong Chhnang"
1996,0.12221553513493,2,4970.6158561448,0,"Kampong Chhnang"
1997,0.144264459407671,2,4970.6158561448,0,"Kampong Chhnang"
1998,0.126389231280853,2,4970.6158561448,0,"Kampong Chhnang"
1999,0.199706431172363,2,4970.6158561448,0,"Kampong Chhnang"
2000,3.36690190078909e-10,2,4970.6158561448,0,"Kampong Chhnang"
2001,0.12600397335572,2,4970.6158561448,0,"Kampong Chhnang"
2002,0.078513237735318,2,4970.6158561448,0,"Kampong Chhnang"
2003,0.0727970245592103,2,4970.6158561448,0,"Kampong Chhnang"
2004,0.138961518469587,2,4970.6158561448,0,"Kampong Chhnang"
2005,0.0784383543291337,2,4970.6158561448,0,"Kampong Chhnang"
2006,0.110056967292286,2,4970.6158561448,0,"Kampong Chhnang"
2007,0.134251491915966,2,4970.6158561448,0,"Kampong Chhnang"
2008,0.0591168645271428,2,4970.6158561448,0,"Kampong Chhnang"
2009,0.0593247664808366,2,4970.6158561448,0,"Kampong Chhnang"
2010,0.152425137997781,2,4970.6158561448,0,"Kampong Chhnang"
2011,0.0659643166280027,2,4970.6158561448,0,"Kampong Chhnang"
2012,0.0686665908273576,2,4970.6158561448,0,"Kampong Chhnang"
2013,0.0702285039659781,2,4970.6158561448,0,"Kampong Chhnang"
2014,0.0303146011891265,2,4970.6158561448,0,"Kampong Chhnang"
2015,0.0453619864882546,2,4970.6158561448,0,"Kampong Chhnang"
2016,0.0345821367203449,2,4970.6158561448,0,"Kampong Chhnang"
2017,0.0150927398144195,2,4970.6158561448,0,"Kampong Chhnang"
2018,0.0497260054584496,2,4970.6158561448,0,"Kampong Chhnang"
2019,0.0553604543637394,2,4970.6158561448,0,"Kampong Chhnang"
2020,0.0380830293695062,2,4970.6158561448,0,"Kampong Chhnang"
1988,0.0239260365769784,2,6274.75075316085,1,"Kampong Speu"
1989,3.77178614513207e-18,2,6274.75075316085,1,"Kampong Speu"
1990,0.251139077675965,2,6274.75075316085,1,"Kampong Speu"
1991,0.318159342252959,2,6274.75075316085,1,"Kampong Speu"
1992,0.0345030729870495,2,6274.75075316085,1,"Kampong Speu"
1993,0.288158221428436,2,6274.75075316085,1,"Kampong Speu"
1994,0.222691179387081,2,6274.75075316085,1,"Kampong Speu"
1995,0.131372596881143,2,6274.75075316085,1,"Kampong Speu"
1996,0.175344140359754,2,6274.75075316085,1,"Kampong Speu"
1997,0.150221633719914,2,6274.75075316085,1,"Kampong Speu"
1998,0.15358618932177,2,6274.75075316085,1,"Kampong Speu"
1999,0.131224624298303,2,6274.75075316085,1,"Kampong Speu"
2000,0.0960488377447615,2,6274.75075316085,1,"Kampong Speu"
2001,0.0416703743369258,2,6274.75075316085,1,"Kampong Speu"
2002,0.139658320309569,2,6274.75075316085,1,"Kampong Speu"
2003,0.121233685537477,2,6274.75075316085,1,"Kampong Speu"
2004,0.126373874395835,2,6274.75075316085,1,"Kampong Speu"
2005,0.106505955511515,2,6274.75075316085,1,"Kampong Speu"
2006,0.0568157299182555,2,6274.75075316085,1,"Kampong Speu"
2007,0.144182685911609,2,6274.75075316085,1,"Kampong Speu"
2008,0.134900983594535,2,6274.75075316085,1,"Kampong Speu"
2009,0.116462211097295,2,6274.75075316085,1,"Kampong Speu"
2010,0.0975889324704263,2,6274.75075316085,1,"Kampong Speu"
2011,0.0500372342112173,2,6274.75075316085,1,"Kampong Speu"
2012,0.0815407605864481,2,6274.75075316085,1,"Kampong Speu"
2013,0.0684240825084197,2,6274.75075316085,1,"Kampong Speu"
2014,0.0447128001307175,2,6274.75075316085,1,"Kampong Speu"
2015,0.0336830086797059,2,6274.75075316085,1,"Kampong Speu"
2016,0.0406806659474092,2,6274.75075316085,1,"Kampong Speu"
2017,0.0361127757156396,2,6274.75075316085,1,"Kampong Speu"
2018,0.051327433068779,2,6274.75075316085,1,"Kampong Speu"
2019,0.0639925803811372,2,6274.75075316085,1,"Kampong Speu"
2020,0.0372052606003185,2,6274.75075316085,1,"Kampong Speu"
1984,0.00723241473938743,2,10816.7256867517,1,"Kampong Thom"
1985,7.5330025799841e-07,2,10816.7256867517,1,"Kampong Thom"
1986,2.65931023212325e-09,2,10816.7256867517,1,"Kampong Thom"
1987,5.2358668918664e-12,2,10816.7256867517,1,"Kampong Thom"
1988,5.65704815711274e-15,2,10816.7256867517,1,"Kampong Thom"
1989,5.59390007431451e-14,2,10816.7256867517,1,"Kampong Thom"
1990,3.06549957456059e-13,2,10816.7256867517,1,"Kampong Thom"
1991,1.0658676459888e-12,2,10816.7256867517,1,"Kampong Thom"
1992,5.05882003441337e-12,2,10816.7256867517,1,"Kampong Thom"
1993,4.14571724200663e-10,2,10816.7256867517,1,"Kampong Thom"
1994,0.588315258893782,2,10816.7256867517,1,"Kampong Thom"
1995,0.204161500516326,2,10816.7256867517,1,"Kampong Thom"
1996,0.178993934042735,2,10816.7256867517,1,"Kampong Thom"
1997,0.159097181885714,2,10816.7256867517,1,"Kampong Thom"
1998,0.146352330078085,2,10816.7256867517,1,"Kampong Thom"
1999,0.144209439662887,2,10816.7256867517,1,"Kampong Thom"
2000,0.117628574004346,2,10816.7256867517,1,"Kampong Thom"
2001,0.0903129714453062,2,10816.7256867517,1,"Kampong Thom"
2002,0.086980030285927,2,10816.7256867517,1,"Kampong Thom"
2003,0.102887343633281,2,10816.7256867517,1,"Kampong Thom"
2004,0.10264160112344,2,10816.7256867517,1,"Kampong Thom"
2005,0.0795894058471451,2,10816.7256867517,1,"Kampong Thom"
2006,0.0929535677862219,2,10816.7256867517,1,"Kampong Thom"
2007,0.157708553947612,2,10816.7256867517,1,"Kampong Thom"
2008,0.140173384313572,2,10816.7256867517,1,"Kampong Thom"
2009,0.0926603811458536,2,10816.7256867517,1,"Kampong Thom"
2010,0.0607673343393778,2,10816.7256867517,1,"Kampong Thom"
2011,0.0788492681696335,2,10816.7256867517,1,"Kampong Thom"
2012,0.0935120143521839,2,10816.7256867517,1,"Kampong Thom"
2013,0.0886451861212598,2,10816.7256867517,1,"Kampong Thom"
2014,0.0254541114756137,2,10816.7256867517,1,"Kampong Thom"
2015,0.0354026075579318,2,10816.7256867517,1,"Kampong Thom"
2016,0.0656876209743261,2,10816.7256867517,1,"Kampong Thom"
2017,0.0308289898247247,2,10816.7256867517,1,"Kampong Thom"
2018,0.0305613506253798,2,10816.7256867517,1,"Kampong Thom"
2019,0.0734615413197767,2,10816.7256867517,1,"Kampong Thom"
2020,0.0398870587565461,2,10816.7256867517,1,"Kampong Thom"
1983,0.0153541641511405,2,3301.23608055768,1,"Kampot"
1984,0.0145444425380686,2,3301.23608055768,1,"Kampot"
1985,0.153694102744692,2,3301.23608055768,1,"Kampot"
1986,0.400004060336869,2,3301.23608055768,1,"Kampot"
1987,1.49660445240465e-05,2,3301.23608055768,1,"Kampot"
1988,7.53057793758421e-07,2,3301.23608055768,1,"Kampot"
1989,4.11993263028864e-08,2,3301.23608055768,1,"Kampot"
1990,1.68212430303293e-08,2,3301.23608055768,1,"Kampot"
1991,9.19483021873035e-09,2,3301.23608055768,1,"Kampot"
1992,8.89026258833823e-09,2,3301.23608055768,1,"Kampot"
1993,2.87854722518694e-08,2,3301.23608055768,1,"Kampot"
1994,1.67811108531534e-06,2,3301.23608055768,1,"Kampot"
1995,0.625501702740129,2,3301.23608055768,1,"Kampot"
1996,0.1372291056346,2,3301.23608055768,1,"Kampot"
1997,0.121910996752764,2,3301.23608055768,1,"Kampot"
1998,0.118675243211753,2,3301.23608055768,1,"Kampot"
1999,0.0837090829216429,2,3301.23608055768,1,"Kampot"
2000,0.0694014302701396,2,3301.23608055768,1,"Kampot"
2001,0.019934673758344,2,3301.23608055768,1,"Kampot"
2002,0.10381299587926,2,3301.23608055768,1,"Kampot"
2003,0.127798572259832,2,3301.23608055768,1,"Kampot"
2004,0.0797335384295629,2,3301.23608055768,1,"Kampot"
2005,0.0896101667124738,2,3301.23608055768,1,"Kampot"
2006,0.0358393021097654,2,3301.23608055768,1,"Kampot"
2007,0.115560441964234,2,3301.23608055768,1,"Kampot"
2008,0.0857616238892194,2,3301.23608055768,1,"Kampot"
2009,0.0302166790997404,2,3301.23608055768,1,"Kampot"
2010,0.11708208811503,2,3301.23608055768,1,"Kampot"
2011,0.0488102457297211,2,3301.23608055768,1,"Kampot"
2012,0.0706458785570465,2,3301.23608055768,1,"Kampot"
2013,0.0676008041157959,2,3301.23608055768,1,"Kampot"
2014,0.046664400306081,2,3301.23608055768,1,"Kampot"
2015,0.0442479790283083,2,3301.23608055768,1,"Kampot"
2016,0.0290859538452448,2,3301.23608055768,1,"Kampot"
2017,0.0226144475125831,2,3301.23608055768,1,"Kampot"
2018,0.0322146733284058,2,3301.23608055768,1,"Kampot"
2019,0.0686011820525773,2,3301.23608055768,1,"Kampot"
2020,0.382878884533929,2,3301.23608055768,1,"Kampot"
1987,3.20272038056142e-12,2,19362.2780078075,1,"Kandal"
1988,0.000105644139579144,2,19362.2780078075,1,"Kandal"
1989,1.66983763056062e-16,2,19362.2780078075,1,"Kandal"
