"year","lambda","N_sero","llik","convergence","lci","uci","provname"
2003,0.318848893706172,2,4819.9690745594,0,0.29268387755578,0.345013909856563,"Kampong Speu"
2004,0.29680334041009,2,4819.9690745594,0,0.272575490401575,0.321031190418605,"Kampong Speu"
2005,0.294513760793832,2,4819.9690745594,0,0.272709836575795,0.316317685011868,"Kampong Speu"
2006,0.266056563979612,2,4819.9690745594,0,0.24744428350879,0.284668844450433,"Kampong Speu"
2007,0.260431084682938,2,4819.9690745594,0,0.245662383789603,0.275199785576273,"Kampong Speu"
2008,0.31099925072501,2,4819.9690745594,0,0.289454570262246,0.332543931187774,"Kampong Speu"
2009,0.265206105901239,2,4819.9690745594,0,0.244463060748859,0.285949151053619,"Kampong Speu"
2010,0.296391467219166,2,4819.9690745594,0,0.277744414380442,0.315038520057891,"Kampong Speu"
2011,0.206900683624629,2,4819.9690745594,0,0.19049308295073,0.223308284298529,"Kampong Speu"
2012,0.235195618820281,2,4819.9690745594,0,0.221513410818346,0.248877826822216,"Kampong Speu"
2013,0.162700689479643,2,4819.9690745594,0,0.147099698292974,0.178301680666312,"Kampong Speu"
2014,0.124127132563471,2,4819.9690745594,0,0.104641409000176,0.143612856126766,"Kampong Speu"
2015,0.132698517621338,2,4819.9690745594,0,0.113610500630425,0.151786534612251,"Kampong Speu"
2016,0.126824777810154,2,4819.9690745594,0,0.10895670730023,0.144692848320078,"Kampong Speu"
2017,0.115554033984057,2,4819.9690745594,0,0.097708629093707,0.133399438874408,"Kampong Speu"
2018,0.176663785910266,2,4819.9690745594,0,0.159645650912238,0.193681920908293,"Kampong Speu"
2019,0.260570673115496,2,4819.9690745594,0,0.247294823522841,0.273846522708152,"Kampong Speu"
2020,0.0933078122994876,2,4819.9690745594,0,0.0795579406239155,0.10705768397506,"Kampong Speu"
1984,0.0621747931585901,2,6893.74880302611,0,0,0.420176068151439,"Kampong Thom"
1985,8.49560596213339e-05,2,6893.74880302611,0,0,0.352460652899496,"Kampong Thom"
1986,1e-07,2,6893.74880302611,0,0,0.352377138663358,"Kampong Thom"
1987,1e-07,2,6893.74880302611,0,0,0.352388602569484,"Kampong Thom"
1988,1e-07,2,6893.74880302611,0,0,0.323200568893257,"Kampong Thom"
1989,1e-07,2,6893.74880302611,0,0,0.278697841563617,"Kampong Thom"
1990,1e-07,2,6893.74880302611,0,0,0.253476221330929,"Kampong Thom"
1991,0.351088221206545,2,6893.74880302611,0,0.129700101502461,0.57247634091063,"Kampong Thom"
1992,0.255519147874038,2,6893.74880302611,0,0.0674600282736471,0.443578267474429,"Kampong Thom"
1993,0.394800361596975,2,6893.74880302611,0,0.234892250519302,0.554708472674648,"Kampong Thom"
1994,0.452014399501414,2,6893.74880302611,0,0.322271328060854,0.581757470941974,"Kampong Thom"
1995,0.434568539685051,2,6893.74880302611,0,0.330797834989529,0.538339244380573,"Kampong Thom"
1996,0.358825192347937,2,6893.74880302611,0,0.274243200263269,0.443407184432605,"Kampong Thom"
1997,0.320679661620824,2,6893.74880302611,0,0.249743051129509,0.391616272112138,"Kampong Thom"
1998,0.303683222152589,2,6893.74880302611,0,0.243395882232085,0.363970562073092,"Kampong Thom"
1999,0.306640789129425,2,6893.74880302611,0,0.255373922210589,0.357907656048261,"Kampong Thom"
2000,0.258499267044071,2,6893.74880302611,0,0.214833812792391,0.30216472129575,"Kampong Thom"
2001,0.267809298806841,2,6893.74880302611,0,0.231077308599607,0.304541289014076,"Kampong Thom"
2002,0.251092472764311,2,6893.74880302611,0,0.223676759228735,0.278508186299887,"Kampong Thom"
2003,0.257564997429574,2,6893.74880302611,0,0.235124166122528,0.280005828736619,"Kampong Thom"
2004,0.222738647077588,2,6893.74880302611,0,0.200307540946529,0.245169753208646,"Kampong Thom"
2005,0.271728085375412,2,6893.74880302611,0,0.250870438231779,0.292585732519044,"Kampong Thom"
2006,0.288508120619065,2,6893.74880302611,0,0.271975638390342,0.305040602847789,"Kampong Thom"
2007,0.287872565009329,2,6893.74880302611,0,0.273008907961724,0.302736222056935,"Kampong Thom"
2008,0.319374492053135,2,6893.74880302611,0,0.300793668949334,0.337955315156936,"Kampong Thom"
2009,0.189859843985242,2,6893.74880302611,0,0.170312612525759,0.209407075444724,"Kampong Thom"
2010,0.258411848817811,2,6893.74880302611,0,0.240217254382174,0.276606443253449,"Kampong Thom"
2011,0.21367993665397,2,6893.74880302611,0,0.199726669745348,0.227633203562592,"Kampong Thom"
2012,0.239491684881727,2,6893.74880302611,0,0.226194147851328,0.252789221912127,"Kampong Thom"
2013,0.217033672992544,2,6893.74880302611,0,0.20287715698665,0.231190188998438,"Kampong Thom"
2014,0.116014910509718,2,6893.74880302611,0,0.0996320046973908,0.132397816322045,"Kampong Thom"
2015,0.127807824216755,2,6893.74880302611,0,0.113833885812019,0.141781762621492,"Kampong Thom"
2016,0.174817932087009,2,6893.74880302611,0,0.162316390706865,0.187319473467154,"Kampong Thom"
2017,0.133181999006269,2,6893.74880302611,0,0.118571512019285,0.147792485993252,"Kampong Thom"
2018,0.12043918693256,2,6893.74880302611,0,0.107131265970402,0.133747107894719,"Kampong Thom"
2019,0.25107562282467,2,6893.74880302611,0,0.240860907935524,0.261290337713815,"Kampong Thom"
2020,0.127994421291102,2,6893.74880302611,0,0.11078870059491,0.145200141987293,"Kampong Thom"
1983,1e-07,2,2517.37657106445,0,0,0.582851225005838,"Kampot"
1984,1e-07,2,2517.37657106445,0,0,0.581390155170952,"Kampot"
1985,1e-07,2,2517.37657106445,0,0,0.519912679906043,"Kampot"
1986,1e-07,2,2517.37657106445,0,0,0.452152618618139,"Kampot"
1987,1e-07,2,2517.37657106445,0,0,0.452197374914594,"Kampot"
1988,0.143173875189381,2,2517.37657106445,0,0,0.579935328074639,"Kampot"
1989,0.198512249384134,2,2517.37657106445,0,0,0.583997398560967,"Kampot"
1990,0.394859813407503,2,2517.37657106445,0,0.0834648554578344,0.706254771357171,"Kampot"
1991,0.37315572501589,2,2517.37657106445,0,0.123635469257496,0.622675980774284,"Kampot"
1992,0.228077704003225,2,2517.37657106445,0,0.0165068398413908,0.43964856816506,"Kampot"
1993,0.255405394173325,2,2517.37657106445,0,0.0708429704345702,0.43996781791208,"Kampot"
1994,0.385756822815881,2,2517.37657106445,0,0.229037701894954,0.542475943736808,"Kampot"
1995,0.312234518473382,2,2517.37657106445,0,0.18172880721018,0.442740229736584,"Kampot"
1996,0.291864131738195,2,2517.37657106445,0,0.180397048728113,0.403331214748277,"Kampot"
1997,0.280709585840456,2,2517.37657106445,0,0.18451977958961,0.376899392091303,"Kampot"
1998,0.253527642917884,2,2517.37657106445,0,0.170051831939378,0.33700345389639,"Kampot"
1999,0.190919372868616,2,2517.37657106445,0,0.117491403443547,0.264347342293685,"Kampot"
2000,0.200119436241844,2,2517.37657106445,0,0.135360700076578,0.26487817240711,"Kampot"
2001,0.20469538852528,2,2517.37657106445,0,0.150539895839702,0.258850881210857,"Kampot"
2002,0.159047228098736,2,2517.37657106445,0,0.122049776183106,0.196044680014366,"Kampot"
2003,0.303275166112683,2,2517.37657106445,0,0.264834753616241,0.341715578609126,"Kampot"
2004,0.24355716873097,2,2517.37657106445,0,0.20859415115543,0.27852018630651,"Kampot"
2005,0.200281302419943,2,2517.37657106445,0,0.168455985898531,0.232106618941354,"Kampot"
2006,0.211746691936838,2,2517.37657106445,0,0.179090524572921,0.244402859300754,"Kampot"
2007,0.239415837445231,2,2517.37657106445,0,0.215164998966488,0.263666675923973,"Kampot"
2008,0.193257008212339,2,2517.37657106445,0,0.161760730299468,0.22475328612521,"Kampot"
2009,0.158412459260083,2,2517.37657106445,0,0.126942476857442,0.189882441662725,"Kampot"
2010,0.207897732831439,2,2517.37657106445,0,0.182640795201583,0.233154670461294,"Kampot"
2011,0.208983473714428,2,2517.37657106445,0,0.178051909853702,0.239915037575155,"Kampot"
2012,0.199185300324469,2,2517.37657106445,0,0.172921145988662,0.225449454660276,"Kampot"
2013,0.192331560782994,2,2517.37657106445,0,0.167638011966181,0.217025109599807,"Kampot"
2014,0.11823027411912,2,2517.37657106445,0,0.090992663146032,0.145467885092208,"Kampot"
2015,0.127732576198973,2,2517.37657106445,0,0.0980737881467969,0.157391364251148,"Kampot"
2016,0.136336635921989,2,2517.37657106445,0,0.107156350252054,0.165516921591924,"Kampot"
2017,0.05637292980326,2,2517.37657106445,0,0.028907038145836,0.083838821460684,"Kampot"
2018,0.174777985523444,2,2517.37657106445,0,0.150065588934344,0.199490382112544,"Kampot"
