"Accession","Serotype","Collection_Date","Year","Country"
"MW265678",1,2015-09-28,2015,"Cambodia"
"MW265679",1,2015-10-06,2015,"Cambodia"
"MW265664",1,2016-04-06,2016,"Cambodia"
"MW265665",1,2016-08-07,2016,"Cambodia"
"MW265666",1,2016-08-22,2016,"Cambodia"
"MW265667",1,2016-02-09,2016,"Cambodia"
"OQ678244",1,2018-08-21,2018,"Cambodia"
"OM281569",1,2018-12-15,2018,"Cambodia"
"OM281574",1,2018-12-15,2018,"Cambodia"
"OQ821330",1,2019-07-17,2019,"Cambodia"
"OQ683856",1,2019-11-08,2019,"Cambodia"
"OQ678009",1,2019-08-27,2019,"Cambodia"
"OQ678060",1,2019-11-26,2019,"Cambodia"
"OQ678061",1,2019-12-17,2019,"Cambodia"
"OQ678099",1,2019-12-26,2019,"Cambodia"
"OQ678252",1,2019-12-20,2019,"Cambodia"
"OM281575",1,2019-12-15,2019,"Cambodia"
"OM281576",1,2019-12-15,2019,"Cambodia"
"OM281577",1,2019-12-15,2019,"Cambodia"
"OM281578",1,2019-12-15,2019,"Cambodia"
"OM281579",1,2019-12-15,2019,"Cambodia"
"OM281580",1,2019-12-15,2019,"Cambodia"
"OM281581",1,2019-12-15,2019,"Cambodia"
"OM281582",1,2019-12-15,2019,"Cambodia"
"OM281583",1,2019-12-15,2019,"Cambodia"
"OM281584",1,2019-12-15,2019,"Cambodia"
"OM281587",1,2019-12-15,2019,"Cambodia"
"OM281588",1,2019-12-15,2019,"Cambodia"
"OM281590",1,2019-12-15,2019,"Cambodia"
"OM281591",1,2019-12-15,2019,"Cambodia"
"OM281592",1,2019-12-15,2019,"Cambodia"
"ON911333",1,2019-06-13,2019,"Cambodia"
"ON907577",1,2019-06-13,2019,"Cambodia"
"ON908218",1,2019-05-24,2019,"Cambodia"
"ON908219",1,2019-06-13,2019,"Cambodia"
"ON867003",1,2019-05-24,2019,"Cambodia"
"OM033409",1,2019-09-15,2019,"Cambodia"
"OL411496",1,2019-07-15,2019,"Cambodia"
"OL411498",1,2019-08-15,2019,"Cambodia"
"OL411499",1,2019-07-15,2019,"Cambodia"
"OL412140",1,2019-08-15,2019,"Cambodia"
"OL412678",1,2019-07-15,2019,"Cambodia"
"OL412703",1,2019-07-15,2019,"Cambodia"
"OK159935",1,2019-08-15,2019,"Cambodia"
"OK159936",1,2019-07-15,2019,"Cambodia"
"OK159937",1,2019-07-15,2019,"Cambodia"
"OK159938",1,2019-07-15,2019,"Cambodia"
"OK159939",1,2019-07-15,2019,"Cambodia"
"OK159940",1,2019-07-15,2019,"Cambodia"
"OK159941",1,2019-06-15,2019,"Cambodia"
"OK159942",1,2019-06-15,2019,"Cambodia"
"OK159943",1,2019-05-15,2019,"Cambodia"
"OK159944",1,2019-04-15,2019,"Cambodia"
"OK159945",1,2019-05-15,2019,"Cambodia"
"OK159946",1,2019-08-15,2019,"Cambodia"
"OK159947",1,2019-08-15,2019,"Cambodia"
"OK159948",1,2019-08-15,2019,"Cambodia"
"OK159949",1,2019-08-15,2019,"Cambodia"
"OK159950",1,2019-08-15,2019,"Cambodia"
"OK159951",1,2019-08-15,2019,"Cambodia"
"OK159952",1,2019-08-15,2019,"Cambodia"
"OK159953",1,2019-08-15,2019,"Cambodia"
"OK159954",1,2019-08-15,2019,"Cambodia"
"OK159955",1,2019-08-15,2019,"Cambodia"
"OK159956",1,2019-07-15,2019,"Cambodia"
"OK159957",1,2019-07-15,2019,"Cambodia"
"OK159958",1,2019-07-15,2019,"Cambodia"
"OK159959",1,2019-07-15,2019,"Cambodia"
"OK159962",1,2019-08-15,2019,"Cambodia"
"OK159963",1,2019-07-15,2019,"Cambodia"
"OK159964",1,2019-08-15,2019,"Cambodia"
"OK159965",1,2019-06-15,2019,"Cambodia"
"OK159966",1,2019-07-15,2019,"Cambodia"
"OK159967",1,2019-07-15,2019,"Cambodia"
"OK159968",1,2019-03-15,2019,"Cambodia"
"OK159969",1,2019-07-15,2019,"Cambodia"
"OK159970",1,2019-08-15,2019,"Cambodia"
"OK159971",1,2019-08-15,2019,"Cambodia"
"OK159972",1,2019-08-15,2019,"Cambodia"
"OK159973",1,2019-08-15,2019,"Cambodia"
"OK159974",1,2019-08-15,2019,"Cambodia"
"OK159975",1,2019-07-15,2019,"Cambodia"
"OK159976",1,2019-07-15,2019,"Cambodia"
"OQ683880",1,2020-07-31,2020,"Cambodia"
"OQ678018",1,2020-02-16,2020,"Cambodia"
"OL411495",1,2020-07-15,2020,"Cambodia"
"OL411497",1,2020-03-15,2020,"Cambodia"
"OK159960",1,2020-02-15,2020,"Cambodia"
"OK159961",1,2020-02-15,2020,"Cambodia"
"MZ857223",1,2006-07-31,2006,"Indonesia"
"KC762632",1,2007-08-31,2007,"Indonesia"
"KC762636",1,2007-09-27,2007,"Indonesia"
"KC762646",1,2007-08-08,2007,"Indonesia"
"KC762628",1,2008-02-19,2008,"Indonesia"
"KC762633",1,2008-04-18,2008,"Indonesia"
"KC762634",1,2008-04-10,2008,"Indonesia"
"KU509261",1,2010-07-31,2010,"Indonesia"
"KC762639",1,2010-04-06,2010,"Indonesia"
"KC762642",1,2010-07-08,2010,"Indonesia"
"KY057365",1,2012-07-31,2012,"Indonesia"
"KY057371",1,2012-07-31,2012,"Indonesia"
"KY057373",1,2012-07-31,2012,"Indonesia"
"KT831765",1,2014-09-15,2014,"Indonesia"
"MH823207",1,2015-07-31,2015,"Indonesia"
"KY849706",1,2008-10-22,2008,"Laos"
"KC172829",1,2008-12-15,2008,"Laos"
"KC172835",1,2008-12-24,2008,"Laos"
"KY849707",1,2009-01-27,2009,"Laos"
"KY849724",1,2009-07-07,2009,"Laos"
"KY849727",1,2009-10-28,2009,"Laos"
"KY849734",1,2010-08-26,2010,"Laos"
"KY849736",1,2010-08-30,2010,"Laos"
"KY849737",1,2010-10-13,2010,"Laos"
"KY849704",1,2011-07-02,2011,"Laos"
"MG877552",1,2012-07-31,2012,"Laos"
"JN697056",1,2005-01-01,2005,"Malaysia"
"JN697057",1,2005-01-11,2005,"Malaysia"
"JN697058",1,2005-01-12,2005,"Malaysia"
"KX452055",1,2014-01-15,2014,"Malaysia"
"KX452060",1,2014-01-15,2014,"Malaysia"
"KX452064",1,2014-01-15,2014,"Malaysia"
"OP895913",1,2017-01-15,2017,"Malaysia"
"JF459993",1,2002-07-31,2002,"Myanmar"
"MW945856",1,2005-07-31,2005,"Myanmar"
"MW793678",1,2017-07-15,2017,"Myanmar"
